-----INSERCIONES DE CLIENTES--------------
INSERT INTO pedido VALUES(841,9,5,5,'23/05/13');
INSERT INTO pedido VALUES(842,25,3,10,'12/05/13');
INSERT INTO pedido VALUES(843,20,28,6,'10/05/13');
INSERT INTO pedido VALUES(844,7,17,1,'8/05/13');
INSERT INTO pedido VALUES(845,24,28,2,'16/05/13');
INSERT INTO pedido VALUES(846,6,8,6,'8/05/13');
INSERT INTO pedido VALUES(847,27,16,8,'12/05/13');
INSERT INTO pedido VALUES(848,12,6,5,'20/05/13');
INSERT INTO pedido VALUES(849,30,25,5,'28/05/13');
INSERT INTO pedido VALUES(850,17,25,7,'26/05/13');
INSERT INTO pedido VALUES(851,6,25,8,'20/05/13');
INSERT INTO pedido VALUES(852,2,28,9,'6/05/13');
INSERT INTO pedido VALUES(853,5,27,8,'15/05/13');
INSERT INTO pedido VALUES(854,24,15,5,'3/05/13');
INSERT INTO pedido VALUES(855,18,8,7,'20/05/13');
INSERT INTO pedido VALUES(856,28,17,8,'13/05/13');
INSERT INTO pedido VALUES(857,7,21,6,'17/05/13');
INSERT INTO pedido VALUES(858,20,28,4,'5/05/13');
INSERT INTO pedido VALUES(859,14,4,6,'16/05/13');
INSERT INTO pedido VALUES(860,12,24,10,'5/05/13');
INSERT INTO pedido VALUES(861,10,4,10,'3/05/13');
INSERT INTO pedido VALUES(862,8,1,9,'9/05/13');
INSERT INTO pedido VALUES(863,30,28,10,'10/05/13');
INSERT INTO pedido VALUES(864,6,14,5,'27/05/13');
INSERT INTO pedido VALUES(865,10,30,3,'1/05/13');
INSERT INTO pedido VALUES(866,6,15,10,'4/05/13');
INSERT INTO pedido VALUES(867,21,17,7,'22/05/13');
INSERT INTO pedido VALUES(868,10,19,2,'7/05/13');
INSERT INTO pedido VALUES(869,5,14,7,'23/05/13');
INSERT INTO pedido VALUES(870,2,6,2,'6/05/13');
INSERT INTO pedido VALUES(871,29,25,9,'15/05/13');
INSERT INTO pedido VALUES(872,7,4,6,'23/05/13');
INSERT INTO pedido VALUES(873,30,7,8,'11/05/13');
INSERT INTO pedido VALUES(874,19,13,8,'13/05/13');
INSERT INTO pedido VALUES(875,24,21,4,'5/05/13');
INSERT INTO pedido VALUES(876,2,25,3,'1/05/13');
INSERT INTO pedido VALUES(877,16,14,10,'17/05/13');
INSERT INTO pedido VALUES(878,11,28,9,'13/05/13');
INSERT INTO pedido VALUES(879,18,23,8,'28/05/13');
INSERT INTO pedido VALUES(880,17,18,8,'20/05/13');
INSERT INTO pedido VALUES(881,22,15,9,'22/05/13');
INSERT INTO pedido VALUES(882,17,7,6,'30/05/13');
INSERT INTO pedido VALUES(883,10,20,5,'14/05/13');
INSERT INTO pedido VALUES(884,20,26,5,'28/05/13');
INSERT INTO pedido VALUES(885,26,12,8,'18/05/13');
INSERT INTO pedido VALUES(886,27,13,1,'15/05/13');
INSERT INTO pedido VALUES(887,15,20,1,'30/05/13');
INSERT INTO pedido VALUES(888,1,1,7,'9/05/13');
INSERT INTO pedido VALUES(889,5,13,7,'26/05/13');
INSERT INTO pedido VALUES(890,21,7,6,'2/05/13');
INSERT INTO pedido VALUES(891,11,29,7,'9/05/13');
INSERT INTO pedido VALUES(892,4,5,2,'11/05/13');
INSERT INTO pedido VALUES(893,15,25,7,'22/05/13');
INSERT INTO pedido VALUES(894,7,17,4,'29/05/13');
INSERT INTO pedido VALUES(895,15,19,8,'29/05/13');
INSERT INTO pedido VALUES(896,4,22,1,'30/05/13');
INSERT INTO pedido VALUES(897,27,1,3,'29/05/13');
INSERT INTO pedido VALUES(898,6,19,7,'29/05/13');
INSERT INTO pedido VALUES(899,2,19,8,'19/05/13');
INSERT INTO pedido VALUES(900,21,23,1,'18/05/13');
INSERT INTO pedido VALUES(901,25,3,2,'11/05/13');
INSERT INTO pedido VALUES(902,1,7,9,'13/05/13');
INSERT INTO pedido VALUES(903,20,3,7,'14/05/13');
INSERT INTO pedido VALUES(904,10,25,4,'18/05/13');
INSERT INTO pedido VALUES(905,15,9,6,'16/05/13');
INSERT INTO pedido VALUES(906,8,12,8,'21/05/13');
INSERT INTO pedido VALUES(907,26,13,6,'12/05/13');
INSERT INTO pedido VALUES(908,18,17,3,'13/05/13');
INSERT INTO pedido VALUES(909,4,8,2,'26/05/13');
INSERT INTO pedido VALUES(910,26,29,3,'5/05/13');
INSERT INTO pedido VALUES(911,10,12,7,'4/05/13');
INSERT INTO pedido VALUES(912,30,26,7,'9/05/13');
INSERT INTO pedido VALUES(913,22,6,7,'30/05/13');
INSERT INTO pedido VALUES(914,21,23,9,'13/05/13');
INSERT INTO pedido VALUES(915,19,17,6,'10/05/13');
INSERT INTO pedido VALUES(916,22,22,6,'16/05/13');
INSERT INTO pedido VALUES(917,6,12,4,'21/05/13');
INSERT INTO pedido VALUES(918,26,30,8,'19/05/13');
INSERT INTO pedido VALUES(919,19,11,4,'23/05/13');
INSERT INTO pedido VALUES(920,2,28,10,'30/05/13');
INSERT INTO pedido VALUES(921,29,3,5,'28/05/13');
INSERT INTO pedido VALUES(922,4,14,10,'9/05/13');
INSERT INTO pedido VALUES(923,14,17,4,'30/05/13');
INSERT INTO pedido VALUES(924,22,4,8,'21/05/13');
INSERT INTO pedido VALUES(925,23,24,8,'11/05/13');
INSERT INTO pedido VALUES(926,6,14,7,'20/05/13');
INSERT INTO pedido VALUES(927,7,12,8,'13/05/13');
INSERT INTO pedido VALUES(928,16,23,10,'24/05/13');
INSERT INTO pedido VALUES(929,2,9,7,'4/05/13');
INSERT INTO pedido VALUES(930,7,2,10,'16/05/13');
INSERT INTO pedido VALUES(931,9,5,3,'9/05/13');
INSERT INTO pedido VALUES(932,13,15,9,'17/05/13');
INSERT INTO pedido VALUES(933,16,23,10,'3/05/13');
INSERT INTO pedido VALUES(934,6,21,10,'14/05/13');
INSERT INTO pedido VALUES(935,4,16,6,'29/05/13');
INSERT INTO pedido VALUES(936,22,16,5,'26/05/13');
INSERT INTO pedido VALUES(937,8,18,7,'12/05/13');
INSERT INTO pedido VALUES(938,7,11,5,'20/05/13');
INSERT INTO pedido VALUES(939,29,29,4,'1/05/13');
INSERT INTO pedido VALUES(940,13,9,10,'14/05/13');
INSERT INTO pedido VALUES(941,3,17,5,'6/05/13');
INSERT INTO pedido VALUES(942,4,1,8,'4/05/13');
INSERT INTO pedido VALUES(943,27,5,1,'24/05/13');
INSERT INTO pedido VALUES(944,3,3,5,'6/05/13');
INSERT INTO pedido VALUES(945,14,17,5,'1/05/13');
INSERT INTO pedido VALUES(946,19,14,9,'10/05/13');
INSERT INTO pedido VALUES(947,19,22,3,'20/05/13');
INSERT INTO pedido VALUES(948,24,6,2,'18/05/13');
INSERT INTO pedido VALUES(949,16,12,9,'11/05/13');
INSERT INTO pedido VALUES(950,1,20,6,'13/05/13');
INSERT INTO pedido VALUES(951,3,16,6,'24/05/13');
INSERT INTO pedido VALUES(952,7,20,8,'8/05/13');
INSERT INTO pedido VALUES(953,23,23,6,'12/05/13');
INSERT INTO pedido VALUES(954,10,16,4,'28/05/13');
INSERT INTO pedido VALUES(955,8,13,7,'18/05/13');
INSERT INTO pedido VALUES(956,10,23,2,'10/05/13');
INSERT INTO pedido VALUES(957,25,28,10,'13/05/13');
INSERT INTO pedido VALUES(958,29,29,10,'21/05/13');
INSERT INTO pedido VALUES(959,1,24,10,'20/05/13');
INSERT INTO pedido VALUES(960,28,10,3,'4/05/13');
INSERT INTO pedido VALUES(961,2,6,5,'16/05/13');
INSERT INTO pedido VALUES(962,27,12,4,'21/05/13');
INSERT INTO pedido VALUES(963,13,7,3,'12/05/13');
INSERT INTO pedido VALUES(964,23,9,9,'30/05/13');
INSERT INTO pedido VALUES(965,27,30,7,'8/05/13');
INSERT INTO pedido VALUES(966,10,24,1,'29/05/13');
INSERT INTO pedido VALUES(967,17,7,1,'7/05/13');
INSERT INTO pedido VALUES(968,23,9,2,'15/05/13');
INSERT INTO pedido VALUES(969,6,5,5,'10/05/13');
INSERT INTO pedido VALUES(970,28,28,1,'4/05/13');
INSERT INTO pedido VALUES(971,10,27,10,'12/05/13');
INSERT INTO pedido VALUES(972,13,24,3,'20/05/13');
INSERT INTO pedido VALUES(973,17,12,9,'27/05/13');
INSERT INTO pedido VALUES(974,15,7,5,'16/05/13');
INSERT INTO pedido VALUES(975,12,21,9,'11/05/13');
INSERT INTO pedido VALUES(976,23,27,3,'19/05/13');
INSERT INTO pedido VALUES(977,6,7,4,'25/05/13');
INSERT INTO pedido VALUES(978,4,26,7,'17/05/13');
INSERT INTO pedido VALUES(979,7,10,3,'22/05/13');
INSERT INTO pedido VALUES(980,3,19,3,'10/05/13');
INSERT INTO pedido VALUES(981,2,3,7,'29/05/13');
INSERT INTO pedido VALUES(982,25,15,9,'19/05/13');
INSERT INTO pedido VALUES(983,12,13,2,'26/05/13');
INSERT INTO pedido VALUES(984,13,9,9,'18/05/13');
INSERT INTO pedido VALUES(985,18,20,5,'23/05/13');
INSERT INTO pedido VALUES(986,29,1,3,'24/05/13');
INSERT INTO pedido VALUES(987,26,15,2,'6/05/13');
INSERT INTO pedido VALUES(988,28,28,10,'9/05/13');
INSERT INTO pedido VALUES(989,16,20,5,'13/05/13');
INSERT INTO pedido VALUES(990,20,7,8,'12/05/13');
INSERT INTO pedido VALUES(991,13,25,2,'23/05/13');
INSERT INTO pedido VALUES(992,24,3,4,'25/05/13');
INSERT INTO pedido VALUES(993,11,23,3,'10/05/13');
INSERT INTO pedido VALUES(994,8,12,5,'16/05/13');
INSERT INTO pedido VALUES(995,11,13,10,'25/05/13');
INSERT INTO pedido VALUES(996,2,17,2,'24/05/13');
INSERT INTO pedido VALUES(997,29,27,5,'16/05/13');
INSERT INTO pedido VALUES(998,25,23,9,'29/05/13');
INSERT INTO pedido VALUES(999,4,27,9,'22/05/13');
INSERT INTO pedido VALUES(1000,3,14,5,'26/05/13');
